#OTU ID,test_1,test_2,test_3,test_4,OTUsize,Taxonomy,superkingdom,phylum,class,order,family,genus,species
ASV22,74153689,43610967,175990541,77521666,371276863,Bacteria{superkingdom}(100);Pseudomonadota{phylum}(100);Gammaproteobacteria{class}(100);Pseudomonadales{order}(100);Pseudomonadaceae{family}(100);Pseudomonas{genus}(100);Unassigned{species}(0),Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Unassigned
ASV23,0,352158,520811261,289924012,811087431,Bacteria{superkingdom}(99);Bacteroidota{phylum}(99);Bacteroidia{class}(99);Bacteroidales{order}(99);Dysgonomonadaceae{family}(99);Proteiniphilum{genus}(99);Unassigned{species}(0),Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Proteiniphilum,Unassigned
ASV24,0,1027157,0,0,1027157,Bacteria{superkingdom}(93);Pseudomonadota{phylum}(93);Gammaproteobacteria{class}(93);Burkholderiales{order}(93);Comamonadaceae{family}(93);Acidovorax{genus}(93);Unassigned{species}(0),Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Unassigned
ASV25,225025903,99311497,3865363,284119,328486882,Bacteria{superkingdom}(100);Pseudomonadota{phylum}(100);Gammaproteobacteria{class}(100);Pseudomonadales{order}(100);Moraxellaceae{family}(100);Acinetobacter{genus}(100);Unassigned{species}(0),Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Unassigned
ASV27,0,0,31788666,11840642,43629308,Bacteria{superkingdom}(74);Bacillota{phylum}(74);Desulfitobacteriia{class}(74);Desulfitobacteriales{order}(74);Desulfitobacteriaceae{family}(74);Desulfitobacterium{genus}(74);Desulfitobacterium_dichloroeliminans{species}(74),Bacteria,Bacillota,Desulfitobacteriia,Desulfitobacteriales,Desulfitobacteriaceae,Desulfitobacterium,Desulfitobacterium_dichloroeliminans
ASV28,1868486,855986,0,0,2724472,Bacteria{superkingdom}(89);Pseudomonadota{phylum}(89);Gammaproteobacteria{class}(89);Burkholderiales{order}(89);Comamonadaceae{family}(89);Hydrogenophaga{genus}(89);Unassigned{species}(0),Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Unassigned
ASV30,0,0,172299,0,172299,Bacteria{superkingdom}(95);Pseudomonadota{phylum}(95);Alphaproteobacteria{class}(95);Rhodospirillales{order}(95);Magnetospiraceae{family}(95);Magnetospira{genus}(95);rock_porewater{species}(95),Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,Magnetospira,rock_porewater
ASV31,0,1616595,0,0,1616595,Bacteria{superkingdom}(100);Pseudomonadota{phylum}(100);Gammaproteobacteria{class}(100);Burkholderiales{order}(100);Rhodocyclaceae{family}(100);Unassigned{genus}(0);Unassigned{species}(0),Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Unassigned,Unassigned
ASV32,9227914,6814406,134587695,63217162,213847177,Bacteria{superkingdom}(84);Bacillota{phylum}(84);Clostridia{class}(84);Peptostreptococcales-Tissierellales{order}(84);Family_XI{family}(84);Soehngenia{genus}(84);Unassigned{species}(0),Bacteria,Bacillota,Clostridia,Peptostreptococcales-Tissierellales,Family_XI,Soehngenia,Unassigned
ASV33,261734004,181865009,695024,114982,444409019,Bacteria{superkingdom}(76);Bacillota{phylum}(76);Clostridia{class}(76);Oscillospirales{order}(76);Oscillospiraceae{family}(76);Ruminiclostridium{genus}(76);Unassigned{species}(0),Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,Ruminiclostridium,Unassigned
ASV34,0,1085756,0,0,1085756,Bacteria{superkingdom}(100);Pseudomonadota{phylum}(100);Gammaproteobacteria{class}(100);Pseudomonadales{order}(100);Pseudomonadaceae{family}(100);Pseudomonas{genus}(100);Unassigned{species}(0),Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Unassigned
ASV36,232089321,177921750,833933,0,410845004,Bacteria{superkingdom}(77);Thermodesulfobacteriota{phylum}(77);Desulfuromonadia{class}(77);Desulfuromonadales{order}(77);Geothermobacteraceae{family}(77);Geothermobacter{genus}(77);denitrifying_bacterium{species}(77),Bacteria,Thermodesulfobacteriota,Desulfuromonadia,Desulfuromonadales,Geothermobacteraceae,Geothermobacter,denitrifying_bacterium
ASV39,0,694373,0,0,694373,Bacteria{superkingdom}(98);Pseudomonadota{phylum}(98);Gammaproteobacteria{class}(98);Pseudomonadales{order}(98);Pseudomonadaceae{family}(98);Pseudomonas{genus}(98);Unassigned{species}(0),Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Unassigned
ASV40,0,0,3071545,1549235,4620780,Bacteria{superkingdom}(100);Pseudomonadota{phylum}(100);Gammaproteobacteria{class}(100);Burkholderiales{order}(100);Comamonadaceae{family}(100);Unassigned{genus}(0);Unassigned{species}(0),Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned,Unassigned
ASV43,723432,0,144824614,72648054,218196100,Bacteria{superkingdom}(98);Bacteroidota{phylum}(98);Bacteroidia{class}(98);Bacteroidales{order}(98);Rikenellaceae{family}(98);DMER64{genus}(98);Unassigned{species}(0),Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,DMER64,Unassigned
ASV44,39399185,23020701,69535899,28888033,160843818,Bacteria{superkingdom}(100);Pseudomonadota{phylum}(100);Gammaproteobacteria{class}(100);Pseudomonadales{order}(100);Pseudomonadaceae{family}(100);Pseudomonas{genus}(100);Unassigned{species}(0),Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Unassigned
ASV46,0,640868,0,0,640868,Bacteria{superkingdom}(100);Pseudomonadota{phylum}(100);Gammaproteobacteria{class}(100);Pseudomonadales{order}(100);Pseudomonadaceae{family}(100);Pseudomonas{genus}(100);Unassigned{species}(0),Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Unassigned
ASV48,85040807,64252128,144365,0,149437300,Bacteria{superkingdom}(89);Bacillota{phylum}(89);Clostridia{class}(89);Peptostreptococcales-Tissierellales{order}(89);Peptostreptococcales-Tissierellales_family{family}(89);Guggenheimella{genus}(89);Tindallia_sp.{species}(89),Bacteria,Bacillota,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcales-Tissierellales_family,Guggenheimella,Tindallia_sp.
ASV52,0,0,0,349581,349581,Bacteria{superkingdom}(93);Planctomycetota{phylum}(93);Planctomycetes{class}(93);Planctomycetales{order}(93);Gimesiaceae{family}(93);Gimesiaceae_genus{genus}(93);uncultured_planctomycete{species}(93),Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Gimesiaceae,Gimesiaceae_genus,uncultured_planctomycete
ASV53,0,119798,0,0,119798,Bacteria{superkingdom}(100);Pseudomonadota{phylum}(100);Gammaproteobacteria{class}(100);Burkholderiales{order}(100);Comamonadaceae{family}(100);Unassigned{genus}(0);Unassigned{species}(0),Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned,Unassigned
ASV56,109898179,73651713,0,0,183549892,Bacteria{superkingdom}(100);Spirochaetota{phylum}(100);Spirochaetia{class}(100);Spirochaetales{order}(100);Spirochaetaceae{family}(100);Sphaerochaeta{genus}(100);Unassigned{species}(0),Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Sphaerochaeta,Unassigned
ASV58,149014117,97226661,15498611,4654604,266393993,Bacteria{superkingdom}(100);Thermodesulfobacteriota{phylum}(100);Desulfuromonadia{class}(100);Geobacterales{order}(100);Geobacteraceae{family}(100);Unassigned{genus}(0);Unassigned{species}(0),Bacteria,Thermodesulfobacteriota,Desulfuromonadia,Geobacterales,Geobacteraceae,Unassigned,Unassigned
ASV63,0,0,38783845,15974640,54758485,Bacteria{superkingdom}(100);Bacillota{phylum}(100);Clostridia{class}(100);Peptococcales{order}(100);Peptococcaceae{family}(100);Dehalobacterium{genus}(100);Unassigned{species}(0),Bacteria,Bacillota,Clostridia,Peptococcales,Peptococcaceae,Dehalobacterium,Unassigned
ASV70,0,729560,0,0,729560,Bacteria{superkingdom}(100);Pseudomonadota{phylum}(100);Gammaproteobacteria{class}(100);Pseudomonadales{order}(100);Pseudomonadaceae{family}(100);Pseudomonas{genus}(100);Unassigned{species}(0),Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Unassigned
ASV71,0,0,152245,72541,224786,Bacteria{superkingdom}(100);Pseudomonadota{phylum}(100);Gammaproteobacteria{class}(100);Burkholderiales{order}(100);Comamonadaceae{family}(100);Unassigned{genus}(0);Unassigned{species}(0),Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned,Unassigned
ASV75,0,1145986,0,0,1145986,Bacteria{superkingdom}(100);Pseudomonadota{phylum}(100);Gammaproteobacteria{class}(100);Burkholderiales{order}(100);Methylophilaceae{family}(100);Unassigned{genus}(0);Unassigned{species}(0),Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Unassigned,Unassigned
ASV76,0,449180,6222464,3311518,9983162,Bacteria{superkingdom}(100);Pseudomonadota{phylum}(100);Gammaproteobacteria{class}(100);Pseudomonadales{order}(100);Pseudomonadaceae{family}(100);Pseudomonas{genus}(100);Unassigned{species}(0),Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Unassigned
ASV77,0,0,103863230,43438282,147301512,Bacteria{superkingdom}(86);Bacillota{phylum}(86);Clostridia{class}(86);Oscillospirales{order}(86);Oscillospiraceae{family}(86);HN-HF0106{genus}(86);uncultured_bacterium{species}(86),Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,HN-HF0106,uncultured_bacterium
ASV80,0,0,0,41727,41727,Bacteria{superkingdom}(73);Pseudomonadota{phylum}(73);Gammaproteobacteria{class}(73);Pseudomonadales{order}(73);Pseudohongiellaceae{family}(73);Pseudohongiella{genus}(73);metagenome{species}(73),Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,Pseudohongiella,metagenome
ASV85,952740,1037629,10828204,5143568,17962141,Bacteria{superkingdom}(86);Bacteroidota{phylum}(86);Bacteroidia{class}(86);Bacteroidales{order}(86);Dysgonomonadaceae{family}(86);Proteiniphilum{genus}(86);uncultured_Porphyromonadaceae{species}(86),Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Proteiniphilum,uncultured_Porphyromonadaceae
ASV88,0,352158,0,0,352158,Bacteria{superkingdom}(100);Pseudomonadota{phylum}(100);Gammaproteobacteria{class}(100);Burkholderiales{order}(100);Methylophilaceae{family}(100);Unassigned{genus}(0);Unassigned{species}(0),Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Unassigned,Unassigned
ASV89,0,1001118,0,0,1001118,Bacteria{superkingdom}(100);Pseudomonadota{phylum}(100);Gammaproteobacteria{class}(100);Burkholderiales{order}(100);Methylophilaceae{family}(100);Unassigned{genus}(0);Unassigned{species}(0),Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Unassigned,Unassigned
ASV90,7253324,4452030,130020512,37691680,179417546,Bacteria{superkingdom}(100);Thermodesulfobacteriota{phylum}(100);Desulfuromonadia{class}(100);Unassigned{order}(0);Unassigned{family}(0);Unassigned{genus}(0);Unassigned{species}(0),Bacteria,Thermodesulfobacteriota,Desulfuromonadia,Unassigned,Unassigned,Unassigned,Unassigned
ASV91,8799428,5365520,37714080,16049193,67928221,Bacteria{superkingdom}(85);Synergistota{phylum}(85);Synergistia{class}(85);Synergistales{order}(85);Synergistaceae{family}(85);Synergistaceae_genus{genus}(85);bacterium_DCE29{species}(85),Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,Synergistaceae_genus,bacterium_DCE29
ASV93,115835990,81541628,0,0,197377618,Bacteria{superkingdom}(92);Bacillota{phylum}(92);Clostridia{class}(92);Unassigned{order}(0);Unassigned{family}(0);Unassigned{genus}(0);Unassigned{species}(0),Bacteria,Bacillota,Clostridia,Unassigned,Unassigned,Unassigned,Unassigned
ASV96,0,0,0,257781,257781,Bacteria{superkingdom}(98);Pseudomonadota{phylum}(98);Alphaproteobacteria{class}(98);Hyphomicrobiales{order}(98);Rhizobiaceae{family}(98);Hoeflea{genus}(98);Unassigned{species}(0),Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Hoeflea,Unassigned
ASV100,1546762,1400387,5889678,2759556,11596383,Bacteria{superkingdom}(98);Bacteroidota{phylum}(98);Bacteroidia{class}(98);Bacteroidales{order}(98);Dysgonomonadaceae{family}(98);Proteiniphilum{genus}(98);Unassigned{species}(0),Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Proteiniphilum,Unassigned
ASV102,48625797,27383671,324262,0,76333730,Bacteria{superkingdom}(100);Pseudomonadota{phylum}(100);Gammaproteobacteria{class}(100);Burkholderiales{order}(100);Rhodocyclaceae{family}(100);Unassigned{genus}(0);Unassigned{species}(0),Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Unassigned,Unassigned
ASV104,0,0,22778767,9625992,32404759,Bacteria{superkingdom}(100);Bacillota{phylum}(100);Clostridia{class}(100);Peptococcales{order}(100);Peptococcaceae{family}(100);Dehalobacterium{genus}(100);Unassigned{species}(0),Bacteria,Bacillota,Clostridia,Peptococcales,Peptococcaceae,Dehalobacterium,Unassigned
ASV107,19387176,11424520,147808905,83810390,262430991,Bacteria{superkingdom}(100);Chloroflexota{phylum}(100);Dehalococcoidia{class}(100);Dehalococcoidales{order}(100);Dehalococcoidaceae{family}(100);Dehalococcoides{genus}(100);Unassigned{species}(0),Bacteria,Chloroflexota,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae,Dehalococcoides,Unassigned
ASV114,0,51474,29614858,18962676,48629008,Bacteria{superkingdom}(99);Bacillota{phylum}(99);Bacilli{class}(99);Erysipelotrichales{order}(99);Erysipelatoclostridiaceae{family}(99);UCG-004{genus}(99);uncultured_bacterium{species}(99),Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,UCG-004,uncultured_bacterium
ASV117,38838160,29682377,0,0,68520537,Bacteria{superkingdom}(88);Bacteroidota{phylum}(88);Bacteroidia{class}(88);Bacteroidales{order}(88);Tannerellaceae{family}(88);Macellibacteroides{genus}(88);uncultured_bacterium{species}(88),Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Macellibacteroides,uncultured_bacterium
ASV118,57878669,40770022,437404,0,99086095,Bacteria{superkingdom}(100);Campylobacterota{phylum}(100);Campylobacteria{class}(100);Campylobacterales{order}(100);Sulfurospirillaceae{family}(100);Sulfurospirillum{genus}(100);Unassigned{species}(0),Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurospirillaceae,Sulfurospirillum,Unassigned
ASV121,32432629,21671254,155914,0,54259797,Bacteria{superkingdom}(100);Bacillota{phylum}(100);Clostridia{class}(100);Eubacteriales{order}(100);Eubacteriaceae{family}(100);Acetobacterium{genus}(100);Unassigned{species}(0),Bacteria,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Acetobacterium,Unassigned
ASV122,49299949,31941173,10871349,3921550,96034021,Bacteria{superkingdom}(71);Thermodesulfobacteriota{phylum}(71);Desulfuromonadia{class}(71);Geobacterales{order}(71);Geobacteraceae{family}(71);Trichlorobacter{genus}(71);Unassigned{species}(0),Bacteria,Thermodesulfobacteriota,Desulfuromonadia,Geobacterales,Geobacteraceae,Trichlorobacter,Unassigned
ASV123,0,0,61119730,34941819,96061549,Bacteria{superkingdom}(75);Spirochaetota{phylum}(75);Spirochaetia{class}(75);Spirochaetales{order}(75);Spirochaetaceae{family}(75);Rectinema{genus}(75);uncultured_bacterium{species}(75),Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Rectinema,uncultured_bacterium
ASV125,65888338,49737999,0,0,115626337,Bacteria{superkingdom}(93);Bacteroidota{phylum}(93);Bacteroidia{class}(93);Bacteroidales{order}(93);Rikenellaceae{family}(93);Anaerocella{genus}(93);uncultured_Rikenellaceae{species}(93),Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Anaerocella,uncultured_Rikenellaceae
ASV126,1546762,1109474,2760204,2162394,7578834,Bacteria{superkingdom}(85);Pseudomonadota{phylum}(85);Gammaproteobacteria{class}(85);Burkholderiales{order}(85);Oxalobacteraceae{family}(85);Herminiimonas{genus}(85);Unassigned{species}(0),Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Herminiimonas,Unassigned
ASV127,1737869,1196382,52393481,26869688,82197420,Bacteria{superkingdom}(100);Spirochaetota{phylum}(100);Spirochaetia{class}(100);Spirochaetales{order}(100);Spirochaetaceae{family}(100);Rectinema{genus}(100);Unassigned{species}(0),Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Rectinema,Unassigned
ASV129,14206517,6924139,17965939,7087047,46183642,Bacteria{superkingdom}(100);Pseudomonadota{phylum}(100);Gammaproteobacteria{class}(100);Pseudomonadales{order}(100);Pseudomonadaceae{family}(100);Pseudomonas{genus}(100);Unassigned{species}(0),Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Unassigned
ASV132,0,0,0,96547,96547,Bacteria{superkingdom}(100);Pseudomonadota{phylum}(100);Gammaproteobacteria{class}(100);Burkholderiales{order}(100);Gallionellaceae{family}(100);Unassigned{genus}(0);Unassigned{species}(0),Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Gallionellaceae,Unassigned,Unassigned
ASV135,0,0,2760204,1113652,3873856,Bacteria{superkingdom}(87);Bacteroidota{phylum}(87);Bacteroidia{class}(87);Bacteroidales{order}(87);Dysgonomonadaceae{family}(87);Proteiniphilum{genus}(87);uncultured_Porphyromonadaceae{species}(87),Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Proteiniphilum,uncultured_Porphyromonadaceae
ASV137,0,0,55105287,30734562,85839849,Bacteria{superkingdom}(78);Bacillota{phylum}(78);Clostridia{class}(78);Clostridia_vadinBB60_group{order}(78);Clostridia_vadinBB60_group_family{family}(78);Clostridia_vadinBB60_group_genus{genus}(78);uncultured_bacterium{species}(78),Bacteria,Bacillota,Clostridia,Clostridia_vadinBB60_group,Clostridia_vadinBB60_group_family,Clostridia_vadinBB60_group_genus,uncultured_bacterium
ASV141,0,0,67432894,28691595,96124489,Bacteria{superkingdom}(99);Thermodesulfobacteriota{phylum}(99);Syntrophobacteria{class}(99);Syntrophobacterales{order}(99);Syntrophobacteraceae{family}(99);Desulforhabdus{genus}(99);Unassigned{species}(0),Bacteria,Thermodesulfobacteriota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,Desulforhabdus,Unassigned
ASV142,528962,0,48898832,31502629,80930423,Bacteria{superkingdom}(98);Bacillota{phylum}(98);Bacilli{class}(98);Izemoplasmatales{order}(98);Izemoplasmataceae{family}(98);Izemoplasmataceae_genus{genus}(98);uncultured_bacterium{species}(98),Bacteria,Bacillota,Bacilli,Izemoplasmatales,Izemoplasmataceae,Izemoplasmataceae_genus,uncultured_bacterium
ASV143,0,0,33920974,19218087,53139061,Bacteria{superkingdom}(98);Bacteroidota{phylum}(98);Bacteroidia{class}(98);Bacteroidales{order}(98);009E01-B-SD-P15{family}(98);009E01-B-SD-P15_genus{genus}(98);uncultured_bacterium{species}(98),Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,009E01-B-SD-P15,009E01-B-SD-P15_genus,uncultured_bacterium
ASV144,30415395,23126332,4265423,1505352,59312502,Bacteria{superkingdom}(99);Bacillota{phylum}(99);Desulfitobacteriia{class}(99);Desulfitobacteriales{order}(99);Syntrophobotulaceae{family}(99);Dehalobacter{genus}(99);Unassigned{species}(0),Bacteria,Bacillota,Desulfitobacteriia,Desulfitobacteriales,Syntrophobotulaceae,Dehalobacter,Unassigned
ASV149,579213,0,34202280,14470052,49251545,Bacteria{superkingdom}(97);Bacteroidota{phylum}(97);Bacteroidia{class}(97);Bacteroidales{order}(97);Dysgonomonadaceae{family}(97);Proteiniphilum{genus}(97);Unassigned{species}(0),Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Proteiniphilum,Unassigned
ASV151,41632295,26216525,1586806,946588,70382214,Bacteria{superkingdom}(98);Spirochaetota{phylum}(98);Spirochaetia{class}(98);Spirochaetales{order}(98);Spirochaetaceae{family}(98);Spirochaetaceae_genus{genus}(98);bacterium_enrichment{species}(98),Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaetaceae_genus,bacterium_enrichment
ASV152,53584402,32658542,0,0,86242944,Bacteria{superkingdom}(84);Verrucomicrobiota{phylum}(84);Kiritimatiellia{class}(84);Kiritimatiellales{order}(84);Kiritimatiellaceae{family}(84);MSBL3{genus}(84);uncultured_soil{species}(84),Bacteria,Verrucomicrobiota,Kiritimatiellia,Kiritimatiellales,Kiritimatiellaceae,MSBL3,uncultured_soil
ASV155,20689747,14883441,0,0,35573188,Bacteria{superkingdom}(100);Campylobacterota{phylum}(100);Campylobacteria{class}(100);Campylobacterales{order}(100);Arcobacteraceae{family}(100);Arcobacter{genus}(100);Unassigned{species}(0),Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,Unassigned
ASV156,0,495848,0,0,495848,Bacteria{superkingdom}(100);Pseudomonadota{phylum}(100);Gammaproteobacteria{class}(100);Burkholderiales{order}(100);Methylophilaceae{family}(100);Unassigned{genus}(0);Unassigned{species}(0),Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Unassigned,Unassigned
ASV157,0,0,14799215,10820113,25619328,Bacteria{superkingdom}(100);Bacillota{phylum}(100);Bacilli{class}(100);Izemoplasmatales{order}(100);Izemoplasmataceae{family}(100);Izemoplasmataceae_genus{genus}(100);Unassigned{species}(0),Bacteria,Bacillota,Bacilli,Izemoplasmatales,Izemoplasmataceae,Izemoplasmataceae_genus,Unassigned
ASV161,49367737,31545292,0,0,80913029,Bacteria{superkingdom}(97);Bacillota{phylum}(97);Bacilli{class}(97);Izemoplasmatales{order}(97);Izemoplasmataceae{family}(97);Izemoplasmataceae_genus{genus}(97);uncultured_bacterium{species}(97),Bacteria,Bacillota,Bacilli,Izemoplasmatales,Izemoplasmataceae,Izemoplasmataceae_genus,uncultured_bacterium
